title	year	bibKey	includesDictionary	langEn	langOther	langNotSpecified	annotSizeText	annotSetup	annotViews	AnnotSchema	AnnotSchemaLen	IAA	annotIAATypeText	annotIAAScoreText	annotIAAMetricText	AnnotErrAnalysis	AnnotResourceAvailable
A Moral Foundations Dictionary for the European Portuguese Language: The Case of Portuguese Parliamentary Debates	2023	10.1007/978-3-031-35995-8_30	True	False	Portuguese	False	N.A. (the created resource is a dictionay, but the paper does not mention its size)	annotNoAnnot	annotViewsNotRelevant	AnnotSchemaNotRelevant		IAANotRelevant	--	--	--	AnnotErrAnalysisNotRelevant	AnnotResourceAvailableYes
C-MFD 2.0: Developing a Chinese Moral Foundation Dictionary	2023	Cheng_Zhang_2023	True	False	Chinese	False	6138 dictionary entries	annotTrained	annotViewsNo	AnnotSchemaYes	AnnotSchemaLen4	IAAYes	MF	0.91	Krippendorff's alpha	AnnotErrAnalysisNo	AnnotResourceAvailableYes
LibertyMFD: A Lexicon to Assess the Moral Foundation of Liberty.	2022	10.1145/3524458.3547264	True	True	--	False	Size of the created dictionary category is not mentioned	annotNoAnnot	annotViewsNotRelevant	AnnotSchemaNotRelevant		IAANotRelevant	--	--	--	AnnotErrAnalysisNotRelevant	AnnotResourceAvailableYes
The extended Moral Foundations Dictionary (eMFD): Development and applications of a crowd-sourced approach to extracting moral intuitions from text	2021	hopp2021extended	True	True	--	False	3270 words	annotCrowd	annotViewsYes	AnnotSchemaYes	AnnotSchemaLen10	IAANo	--	--	--	AnnotErrAnalysisNo	AnnotResourceAvailableYes
Enhancing the Measurement of Social Effects by Capturing Morality	2019	rezapour-etal-2019-enhancing	True	True	--	False	4636 dictionary entries	annotTrained	annotViewsNo	AnnotSchemaNo		IAAYes	POS and MF	0.65	kappa	AnnotErrAnalysisNo	AnnotResourceAvailableYes
From Stance to Concern: Adaptation of Propositional Analysis to New Tasks and Domains	2022	mather-etal-2022-stance	True	True	--	False	8473 dictionary entries	annotTrained	annotViewsNo	AnnotSchemaYes	AnnotSchemaLen1	IAAYes	concern type, MF	0.66, 0.16	IRR, IRR	AnnotErrAnalysisNo	AnnotResourceAvailableYes
Development and validation of the Japanese Moral Foundations Dictionary	2019	matsuo2019development	True	False	Japanese	False	741 dictionary entries	annotCrowd	annotViewsYes	AnnotSchemaYes	AnnotSchemaLen1	IAANotRelevant	--	--	--	AnnotErrAnalysisNotRelevant	AnnotResourceAvailableYes
Automatic Assignment of Moral Foundations to Movies by Word Embedding	2023	10.1016/j.knosys.2023.110539	True	True	--	False	unknown	annotNoAnnot	annotViewsNotRelevant	AnnotSchemaNotRelevant		IAANotRelevant	--	--	--	AnnotErrAnalysisNotRelevant	AnnotResourceAvailablePartly
The Language of Liberty: A Preliminary Study	2021	10.1145_3442442.3452351	True	False	--	True	3074 dictionary entries	annotNoAnnot	annotViewsNotRelevant	AnnotSchemaNotRelevant		IAANotRelevant	--	--	--	AnnotErrAnalysisNotRelevant	AnnotResourceAvailableYes
MoralStrength: Exploiting a Moral Lexicon and Embedding Similarity for Moral Foundations Prediction	2020	10.1016/j.knosys.2019.105184	True	False	--	True	954 dictionary entries	annotCrowd	annotViewsNo	AnnotSchemaYes	AnnotSchemaLen4	IAAYes	MF (5 dimensions)	0.34-0.65	 Gwet’s gamma with quadratic weighting 	AnnotErrAnalysisRudimentary	AnnotResourceAvailableYes
A brazilian portuguese moral foundations dictionary for fake news classification	2020	carvalho2020brazilian	True	False	Brazilian Portuguese	False	790 dictionary entries	annotNoAnnot	annotViewsNotRelevant	AnnotSchemaNotRelevant		IAANotRelevant	--	--	--	AnnotErrAnalysisNotRelevant	AnnotResourceAvailableYes
